Questions,Answers
What is the course outline of Python?,"Here is the course outline of Python class:
- Introduction to Python Language
- Values and Variables
- Expressions and Arithmetic
- Conditional Execution
- Iteration Loops
- Function
- Libraries
- Data Structures
- File Handling
- Regular Expression
- Object Oriented Programming (OOP)"
What is the course outline of AI Foundations: From Theory to Practical Applications?,"Here is the course outline of AI Foundations class:
- Artificial Intelligence
- Data Analysis with Python
- Machine Learning
- Deep Learning
- Natural Language Processing (Burmese Language)
- AI Ethics"
What is the course outline of Math Fundamentals: Behind the Science of AI and Data Science?,"Here is the course outline of Math Fundamentals class:
- Statistics
- Probability
- Linear Algebra
- Calculus
- AI Model Structure"
What is the course outline of UXUI?,"Here is the course outline of UXUI class:
UX
- Introduction to UX UI design
- Product development life cycle
- Design thinking process
- Designer roles and responsibilities 
- UX design principle
- UX research methodologies
- User persona 
- Information Architecture

UI
- Get in touch with design tools
- Brain storming in figjam and miro
- UI design principles
- Wireframing in Figma 
- Create components and interaction components
- Create local library for effective design
- Highfidelity Design (Mobile and Web)
- Iterating and Usability Testing

Final project and Design presentation included."
What is the course outline of Oracle Database Foundation?,"Here is the course outline of Oracle Database Foundation class:
- Introduction 
- Database Management Fundamental
- Oracle Database Architecture
- Oracle Database Features
- Oracle Relational Database Structure
- Step by step Oracle database development
- Oracle SQL
- PL/SQL with Oracle SQL Developer
- Package
- Managing the Oracle Database Instance
- Reporting"
What is the course outline of Applied Machine Learning?,"Here is the course outline of Applied Machine Learning class:
- Introduction to Machine Learning
- Pre-requisites and Introduction to Pandas
- Linear Regression
- Logistic Regression
- Decision Tree and Random Forest
- Naive Bayes and Support Vector Machine
- Regularization and Evaluation Metrics
- K-Means Algorithm and Dimensionality Reduction
- Introduction to Deep Learning"
What is the course outline of Data Science Foundation?,"Here is the course outline of Data Science Foundation class:
- Introduction to Data Science
- Data Handling with Python
- Data Collection: Web Scraping
- Data Preprocessing
- Relational Data
- Exploratory Data Analysis and Visualization
- Data Science Techniques"
What is the course outline of React JS?,"Here is the course outline for React JS:
- Introduction to React
- React Components and props
- React Hooks
- API Calling with Axios in React 
- Custom Hook
- React router dom
- Useful and Popolar UI Libraries for React 
- Form handling with react hook form
- Redux 
- React-redux"
What is the course outline of IT Project Management?,"Here is the course outline for IT Project Management:
- Project Management Introduction
- Project Management Life Cycle 
- Project Integration Management
- Project Scope Management
- Project Time Management
- Project Cost Management
- Project Quality Management
- Project Resource Management
- Project Communication Management
- Project Risk Management"
What is the course outline of IOS Development Fundamentals?,"Here is the course outline for IOS Development Fundamentals : 
- Introduction to XCode
- User Interface Building using storyboards
- Different Types of Screen Navigations
- Using Protocols 
- Build list view and grid views 
- Using Swift Package Manager
- Build a network manager with Almofire
- Integrate Open Weather API
- Code refactoring and MVVM architecture"
What is the course outline of Software Testing Fundamental?,"Here is the course outline for Software Testing Fundamental:
- Introduction to Software Testing
- Testing Methodologies 
- Testing Documentation and Artifacts 
- Test Planning
- Testing Techniques
- Functional and Non- Functional Testing Types
- User Acceptance Testing (UAT)
- Test Closure and Lessons Learned + Sneak Peek of Testing Management Tools 
- API Testing ( Basic )
- Introduction to ISTQB: Your First Step Towards Certification
- Mini Test ( Multiple Choice) 
- Testing Project"
What is the course outline of Java Script?,"Here is the course outline for Java Script: 
1. Introduction to JavaScript 
-Course Overview and Setup
-JavaScript Basics
-Data Types and Variables
2. Control Structures and Functions
3. Objects and Arrays
4. Advanced JavaScript Concepts
-Asynchronous JavaScript
-Error Handling

5. Working with the DOM
-Document Object Model (DOM)
-Event Handling

6. Browser APIs and AJAX

7. Modern JavaScript and ES6
-ES6 Features
"
What is the course outline for Quantum Computing?,"Here is the course outline for Quantum Computing:
- Linear Algebra, Statistics and Probability (1)
- Linear Algebra, Statistics and Probability (2)
- Introduction to Quantum Mechanics 
- Introduction to Quantum Computing 
- Quantum Algorithms (1)
- Quantum Algorithms (2)
- Practicality of Quantum Computing Devices"
What is the course outline for Pathway to Success College Readiness?,"Here is the course outline for Pathway to Success College Readiness:
- Course Introduction 
- Academic 4 Skills
- Critical Thinking and Problem Solving 
- Data Acquisition and Analysis
- Statisicial Analysis and Visualization 
- Research Method Basics 
- Foundational IELTS
- Soft Skills 
- College Application Process"
"Which platforms will be used for the class sessions, recordings, and communication?","The class will be conducted via Zoom, and recordings will also be made available on Google Classroom.
For class communication, we will be using the Discord platform."
How to register?,You can register by filling out our form! Just tap the link below to get started on Messenger.
